tier,rep,variant,topic,mb_s,rec_s,user_s,sys_s,cpu_s_per_gb,vol_ctx,invol_ctx,rss_kb,note
T1,1,java-consumer,big100b,274.7549,2881014.1170,14.02,2.08,4.322,152308,138801,1795632,fixed-count
T1,1,librdkafka,big100b,207.29,2072868,19.14,0.15,5.178,21496,15490,20532,fixed-count
T1,1,franz-go,big100b,250.00,2499999,13.22,1.63,3.802,61404,47177,22668,fixed-20s
T1,1,java-classic,big100b,317.4417,3328617.7915,12.42,1.61,3.766,13889,7598,1792276,fixed-count
T1,1,java-consumer,t6p,429.2582,439560.4396,7.96,1.37,3.261,16537,12600,1410368,fixed-count
T1,1,librdkafka,t6p,1217.57,1189029,1.67,0.84,0.877,5551,198,26020,fixed-count
T1,1,franz-go,t6p,1024.00,1000000,1.48,1.28,0.92,20556,15644,32068,fixed-12s
T1,1,java-classic,t6p,422.9374,433087.9168,8.42,1.30,3.397,8857,7094,1422940,fixed-count
T1,2,java-consumer,big100b,274.2808,2876042.5654,14.28,1.93,4.351,148101,134670,1800964,fixed-count
T1,2,librdkafka,big100b,201.56,2015557,19.67,0.17,5.326,21442,15617,21004,fixed-count
T1,2,franz-go,big100b,250.00,2499999,13.09,1.64,3.771,45754,32900,21424,fixed-20s
T1,2,java-classic,big100b,314.1478,3294078.8932,12.88,1.54,3.871,13436,8228,1796488,fixed-count
T1,2,java-consumer,t6p,417.8105,427837.9920,8.11,1.37,3.314,17187,13373,1419404,fixed-count
T1,2,librdkafka,t6p,1231.21,1202357,1.65,0.83,0.867,5453,161,26072,fixed-count
T1,2,franz-go,t6p,1024.00,1000000,1.53,1.21,0.913,20298,15361,32040,fixed-12s
T1,2,java-classic,t6p,412.4578,422356.7507,8.33,1.29,3.362,9041,7372,1427080,fixed-count
T1,3,java-consumer,big100b,275.8477,2892472.3407,13.98,1.97,4.282,149810,135335,1793924,fixed-count
T1,3,librdkafka,big100b,201.23,2012340,19.61,0.26,5.334,21237,15779,22248,fixed-count
T1,3,franz-go,big100b,250.00,2499999,13.18,1.58,3.779,38086,25695,22628,fixed-20s
T1,3,java-classic,big100b,323.5536,3392705.6828,12.40,1.59,3.755,14053,7519,1792024,fixed-count
T1,3,java-consumer,t6p,440.6208,451195.6685,7.92,1.41,3.261,17148,13167,1419168,fixed-count
T1,3,librdkafka,t6p,1214.11,1185650,1.68,0.83,0.877,5193,189,26136,fixed-count
T1,3,franz-go,t6p,1024.00,1000000,1.46,1.28,0.913,20354,15483,32028,fixed-12s
T1,3,java-classic,t6p,396.0643,405569.8256,8.65,1.38,3.506,9119,7245,1424664,fixed-count
T1,1,java-consumer,idle1p,0,0,4.27,0.46,4730000000.0,10134,4409,231900,idle-60s
T1,1,librdkafka,idle1p,0,0,0.09,0.05,140000000.0,835,85,5632,idle-60s
T1,1,franz-go,idle1p,0,0,0.03,0.02,50000000.0,757,144,14064,idle-60s
