variant,topic,extra,fetch_MB_sec,msg_sec,cpu_s_per_GB,load
TRUNK,big100b,,404.5707,4242231.4137,4.94,load=0.78
LOOPONLYOLD,big100b,,414.1458,4342633.8074,4.61,load=0.98
LOOPONLY,big100b,,392.4182,4114803.0038,4.81,load=1.06
FULL,big100b,,592.6204,6214074.8796,4.91,load=1.35
TRUNK,big100b,max.poll.records=50,308.2335,3232062.0556,6.80,load=1.41
LOOPONLYOLD,big100b,max.poll.records=50,316.2312,3315924.7285,6.20,load=1.53
LOOPONLY,big100b,max.poll.records=50,305.5669,3204101.2496,7.00,load=1.63
FULL,big100b,max.poll.records=50,513.7639,5387205.3872,5.34,load=1.98
TRUNK,t6p,,636.0589,651324.3595,4.51,load=2.22
LOOPONLYOLD,t6p,,637.8592,653167.8641,4.55,load=2.48
LOOPONLY,t6p,,636.6118,651890.4824,4.70,load=2.60
FULL,t6p,,644.5957,660066.0066,4.76,load=2.35
TRUNK,big100b,,403.6717,4232804.2328,4.76,load=2.36
LOOPONLYOLD,big100b,,410.8452,4308023.6941,4.70,load=2.11
LOOPONLY,big100b,,392.4182,4114803.0038,4.82,load=2.17
FULL,big100b,,573.5524,6014133.2131,5.17,load=2.23
TRUNK,big100b,max.poll.records=50,304.9318,3197442.0464,6.78,load=2.23
LOOPONLYOLD,big100b,max.poll.records=50,309.9364,3249918.7520,6.68,load=2.17
LOOPONLY,big100b,max.poll.records=50,303.9599,3187250.9960,7.05,load=2.34
FULL,big100b,max.poll.records=50,504.1894,5286809.4105,5.59,load=2.21
TRUNK,t6p,,627.2078,642260.7579,4.72,load=2.12
LOOPONLYOLD,t6p,,657.9132,673703.1215,4.35,load=2.02
LOOPONLY,t6p,,634.6810,649913.3449,4.67,load=2.10
FULL,t6p,,692.2702,708884.6881,5.22,load=2.01
TRUNK,big100b,,398.7766,4181476.0610,4.85,load=2.08
LOOPONLYOLD,big100b,,410.6240,4305705.0592,4.57,load=1.90
LOOPONLY,big100b,,384.3524,4030226.7003,4.99,load=1.83
FULL,big100b,,595.1166,6240249.6100,4.88,load=2.09
TRUNK,big100b,max.poll.records=50,303.9115,3186743.1485,7.02,load=2.06
LOOPONLYOLD,big100b,max.poll.records=50,316.1264,3314825.5573,6.27,load=2.10
LOOPONLY,big100b,max.poll.records=50,306.4260,3213109.4867,6.89,load=2.14
FULL,big100b,max.poll.records=50,514.0409,5390109.1497,5.43,load=2.36
TRUNK,t6p,,620.0397,634920.6349,4.67,load=2.25
LOOPONLYOLD,t6p,,642.1937,657606.3130,4.50,load=2.29
LOOPONLY,t6p,,635.0938,650336.0069,4.68,load=2.35
FULL,t6p,,734.8100,752445.4477,4.50,load=2.21
