variant,topic,extra,fetch_MB_sec,msg_sec,cpu_s_per_GB,load
TRUNK,big100b,,342.9558,3596152.1172,5.67,load=1.23
LOOPONLY,big100b,,377.8799,3962357.6028,4.64,load=1.43
FULL,big100b,,558.8481,5859947.2605,5.03,load=1.61
TRUNK,big100b,max.poll.records=50,304.9318,3197442.0464,6.78,load=1.70
LOOPONLY,big100b,max.poll.records=50,311.2006,3263175.0693,6.37,load=1.68
FULL,big100b,max.poll.records=50,514.1101,5390835.5795,5.28,load=1.57
TRUNK,t6p,,616.5167,631313.1313,4.75,load=1.65
LOOPONLY,t6p,,636.6118,651890.4824,4.51,load=1.83
FULL,t6p,,680.8477,697188.0084,4.97,load=1.71
TRUNK,big100b,,399.9054,4193311.6679,4.88,load=1.98
LOOPONLY,big100b,,407.7710,4275788.3485,4.54,load=1.96
FULL,big100b,,583.5547,6119014.8386,5.05,load=2.03
TRUNK,big100b,max.poll.records=50,302.8980,3176115.6106,6.94,load=1.72
LOOPONLY,big100b,max.poll.records=50,306.2784,3211561.6218,6.45,load=1.69
FULL,big100b,max.poll.records=50,516.0575,5411255.4113,5.33,load=1.80
TRUNK,t6p,,632.8986,648088.1400,4.69,load=1.73
LOOPONLY,t6p,,646.1596,661667.4019,4.61,load=1.76
FULL,t6p,,721.5979,738916.2562,4.73,load=1.94
TRUNK,big100b,,402.9468,4225203.3379,4.82,load=2.02
LOOPONLY,big100b,,412.4889,4325259.5156,4.50,load=1.85
FULL,big100b,,597.7276,6267627.7029,4.83,load=1.94
TRUNK,big100b,max.poll.records=50,308.2833,3232584.4513,6.67,load=1.89
LOOPONLY,big100b,max.poll.records=50,311.0484,3261578.6040,6.49,load=1.77
FULL,big100b,max.poll.records=50,518.7947,5439956.4803,5.28,load=1.73
TRUNK,t6p,,626.2692,641299.7007,4.79,load=1.93
LOOPONLY,t6p,,673.3366,689496.6674,4.10,load=1.94
FULL,t6p,,684.1867,700607.1929,5.18,load=2.47
